Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,AI ML,Software Engineering,Business Analysis,Data Science,Role
Intermediate,Professional,Intermediate,Intermediate,,Intermediate,Intermediate,Competent,Intermediate,Average,Intermediate,Hardware Engineer
Excellent,Professional,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Poor,Professional,Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Hardware Engineer
Poor,Professional,Average,Average,Average,Average,Intermediate,Average,Average,Average,Average,Hardware Engineer
Intermediate,Professional,Average,Intermediate,Average,Intermediate,Intermediate,Intermediate,Poor,Intermediate,Intermediate,Hardware Engineer
Intermediate,Advanced,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Excellent,Professional,Excellent,Excellent,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Hardware Engineer
Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Poor,Poor,Hardware Engineer
Poor,Professional,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Beginner,Poor,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Hardware Engineer
,Professional,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Hardware Engineer
Intermediate,Professional,Average,Average,Average,Average,Average,Average,,Average,Average,Hardware Engineer
Poor,Professional,Poor,Poor,Poor,Poor,Poor,,Poor,No Experience,Poor,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Hardware Engineer
Beginner,Professional,,Beginner,Beginner,Entry-level,Beginner,Beginner,,Beginner,Average,Hardware Engineer
Poor,Professional,Beginner,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
,Professional,,Not Interested,Not Interested,Not Interested,Not Interested,,Beginner,Not Interested,,Hardware Engineer
Average,Professional,Average,Average,Average,Average,,Not Interested,Average,Intermediate,Average,Hardware Engineer
Average,Professional,Average,Average,Novice,Average,Average,Average,Average,Average,Average,Hardware Engineer
Poor,Professional,Poor,Poor,Poor,Poor,Poor,Average,No Experience,Poor,No Experience,Hardware Engineer
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Hardware Engineer
Beginner,Professional,Competent,Intermediate,Average,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Average,Expert,Average,Average,Average,,Average,Average,Average,Average,Average,Hardware Engineer
Poor,Professional,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Hardware Engineer
Poor,Professional,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Hardware Engineer
Intermediate,Professional,Intermediate,Excellent,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Beginner,,Hardware Engineer
Average,Professional,Average,Average,Average,Average,Average,Average,Not Interested,Average,Average,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Competent,Competent,Intermediate,Intermediate,Intermediate,,,Hardware Engineer
Average,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Hardware Engineer
Not Interested,,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Poor,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Not Interested,,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Beginner,Professional,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Hardware Engineer
Beginner,Professional,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Average,Intermediate,Average,Intermediate,Intermediate,Intermediate,Hardware Engineer
Poor,Professional,Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Average,Professional,Average,Average,Average,Average,,,Average,Average,Average,Hardware Engineer
Not Interested,Professional,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,Hardware Engineer
Not Interested,Professional,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Hardware Engineer
Excellent,Professional,Excellent,,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Poor,Professional,Poor,Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Hardware Engineer
Intermediate,Professional,Intermediate,Average,Average,Average,Average,,Average,Average,Average,Hardware Engineer
Beginner,Professional,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,,Average,Hardware Engineer
Poor,Professional,Poor,No Experience,Poor,,Poor,Poor,Poor,,Poor,Hardware Engineer
Intermediate,Professional,Poor,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Beginner,,,Beginner,Beginner,Beginner,Beginner,Excellent,Beginner,Beginner,Beginner,Hardware Engineer
Not Interested,Advanced,Not Interested,,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Hardware Engineer
Beginner,Professional,Beginner,Beginner,,Beginner,Beginner,Beginner,Novice,Beginner,Novice,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Poor,Professional,Excellent,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Hardware Engineer
Poor,Professional,Not Interested,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Beginner,Advanced,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Hardware Engineer
Average,,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Hardware Engineer
Excellent,Advanced,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Poor,Professional,Poor,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Hardware Engineer
Excellent,Expert,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Beginner,Professional,Beginner,Beginner,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Hardware Engineer
Poor,Professional,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Hardware Engineer
Average,Advanced,Average,Average,Average,Not Interested,Average,Average,Average,Average,Average,Hardware Engineer
Beginner,Professional,Beginner,Beginner,Beginner,,Beginner,Entry-level,Intermediate,Beginner,Beginner,Hardware Engineer
Poor,Professional,Poor,Poor,Poor,,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Novice,Professional,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Not Interested,Beginner,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,,Intermediate,Intermediate,Intermediate,Hardware Engineer
Average,Professional,Average,Average,Average,Average,,Beginner,Intermediate,Average,Average,Hardware Engineer
Poor,Expert,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Not Interested,Expert,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Hardware Engineer
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,,Hardware Engineer
Average,Professional,Average,Average,Average,Intermediate,Average,Average,Average,Intermediate,Average,Hardware Engineer
Intermediate,,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Not Interested,Intermediate,Intermediate,Hardware Engineer
Beginner,Professional,,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Hardware Engineer
Excellent,Advanced,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,,Hardware Engineer
Intermediate,Professional,Competent,Intermediate,Intermediate,Excellent,Competent,,Intermediate,Intermediate,Intermediate,Hardware Engineer
Average,Professional,Intermediate,Average,Average,Average,Average,Intermediate,Average,Average,Average,Hardware Engineer
Average,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Hardware Engineer
Poor,Professional,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Hardware Engineer
Poor,Professional,Not Interested,Not Interested,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Hardware Engineer
Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Poor,Not Interested,,Hardware Engineer
Not Interested,Professional,Not Interested,Not Interested,Poor,Not Interested,Not Interested,Not Interested,,No Experience,Not Interested,Hardware Engineer
Poor,Professional,Poor,Excellent,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Hardware Engineer
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Average,Professional,Average,Average,Average,,No Experience,Intermediate,Average,Average,Average,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Excellent,Intermediate,Intermediate,Intermediate,Hardware Engineer
Poor,Professional,Poor,Poor,No Experience,Poor,Poor,No Experience,Poor,,,Hardware Engineer
Poor,Professional,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Poor,Poor,Hardware Engineer
Average,Professional,Average,Intermediate,Average,Average,Average,Average,Average,Average,Average,Hardware Engineer
Beginner,Professional,Beginner,Beginner,Average,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Hardware Engineer
Average,Professional,Average,Average,Poor,Average,Average,Average,Average,Average,,Hardware Engineer
Poor,Professional,No Experience,Poor,Poor,Competent,,Poor,Poor,Poor,Poor,Hardware Engineer
No Experience,,Not Interested,Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,Not Interested,Hardware Engineer
Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Excellent,Hardware Engineer
Excellent,Advanced,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Excellent,Excellent,Hardware Engineer
Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,,Entry-level,Beginner,Beginner,Hardware Engineer
Intermediate,Professional,Average,Average,Average,Average,Average,Average,Average,Average,Average,Hardware Engineer
No Experience,Professional,Beginner,,Not Interested,,Not Interested,,Not Interested,No Experience,Not Interested,Hardware Engineer
Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Hardware Engineer
Beginner,Professional,,Beginner,Entry-level,Novice,Beginner,Beginner,,Beginner,Beginner,Hardware Engineer
Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Networking Engineer
Intermediate,Intermediate,,Intermediate,Professional,Intermediate,Intermediate,Beginner,Average,Intermediate,,Networking Engineer
Intermediate,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,,Excellent,Excellent,Excellent,Networking Engineer
Beginner,Beginner,Entry-level,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Networking Engineer
Excellent,Intermediate,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Networking Engineer
Not Interested,Not Interested,Not Interested,Not Interested,Professional,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Networking Engineer
Average,Average,Average,Average,Professional,Average,Average,Average,Average,Average,Poor,Networking Engineer
,Beginner,Beginner,Beginner,Professional,Novice,Beginner,Beginner,Beginner,Beginner,Excellent,Networking Engineer
Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Beginner,Networking Engineer
