Database Fundamentals,Computer Architecture,Distributed Computing Systems,Cyber Security,Networking,Software Development,Programming Skills,Project Management,Computer Forensics Fundamentals,Technical Communication,AI ML,Software Engineering,Business Analysis,Data Science,Troubleshooting skills,Role
Poor,Poor,Poor,Poor,Poor,Poor,Excellent,,Professional,Poor,Poor,Poor,Poor,Poor,No Experience,Information Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Professional,Helpdesk Engineer
Average,Average,,Average,Average,Poor,Average,Average,Average,Intermediate,Average,Professional,Average,Average,Average,Software tester
Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Average,Professional,Average,Average,Average,Software tester
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Graphics Designer
No Experience,Poor,Poor,No Experience,Poor,Professional,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,No Experience,Software Developer
Average,Average,Poor,Average,Average,Average,,Average,Average,Average,Average,Average,Professional,Average,,Business Analyst
Average,Average,Average,Average,Professional,Average,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Networking Engineer
Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,Average,Graphics Designer
Not Interested,Not Interested,Not Interested,Beginner,No Experience,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Professional,Not Interested,Data Scientist
Intermediate,Not Interested,,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Average,Intermediate,Intermediate,Technical Writer
Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Graphics Designer
Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Database Administrator
Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Database Administrator
Average,Average,Average,Intermediate,Beginner,Average,,Average,Professional,Average,Average,Average,Intermediate,Average,Average,Information Security Specialist
Not Interested,Not Interested,Not Interested,Professional,,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,Average,None,Not Interested,Not Interested,Cyber Security Specialist
Average,Average,Average,,Average,Average,Average,Average,Average,Average,Excellent,Average,,Average,Professional,Helpdesk Engineer
Entry-level,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Graphics Designer
Not Interested,Not Interested,Not Interested,Not Interested,N/A,,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Technical Writer
Excellent,,Excellent,Average,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Information Security Specialist
Professional,Not Interested,Not Interested,None,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Excellent,,Not Interested,Not Interested,Not Interested,Database Administrator
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Not Interested,Excellent,Excellent,Excellent,Excellent,Excellent,Customer Service Executive
Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Excellent,API Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Graphics Designer
Average,Average,Beginner,Average,Average,Average,,Average,Average,Average,Average,Average,Average,Average,Average,API Specialist
,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Average,Intermediate,,Graphics Designer
Beginner,Beginner,Entry-level,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Software Developer
Beginner,Beginner,Beginner,Beginner,Beginner,Average,Beginner,Beginner,,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Technical Writer
Beginner,Beginner,Entry-level,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Information Security Specialist
Beginner,,Beginner,Professional,Novice,Beginner,Beginner,Beginner,,Beginner,Beginner,Entry-level,Beginner,,Beginner,Cyber Security Specialist
Professional,Intermediate,Intermediate,Intermediate,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Competent,Intermediate,Database Administrator
Intermediate,Average,Average,Average,Intermediate,Average,Average,Average,Average,Professional,Average,Intermediate,Average,Average,Intermediate,Technical Writer
Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Professional,Poor,Data Scientist
Excellent,Intermediate,,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Information Security Specialist
Poor,Poor,Poor,Poor,,Poor,Beginner,Poor,Poor,,Poor,Poor,Poor,Poor,Poor,Technical Writer
Not Interested,Not Interested,,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,None,Not Interested,Professional,Not Interested,Not Interested,,Software tester
Beginner,Beginner,Not Interested,Beginner,,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,Beginner,Data Scientist
,Intermediate,Intermediate,Intermediate,,Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Customer Service Executive
Not Interested,Not Interested,Not Interested,Not Interested,Excellent,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,,Professional,,Data Scientist
Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,,,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,None,Hardware Engineer
Professional,Intermediate,Not Interested,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Database Administrator
Poor,Poor,,Professional,,Poor,Poor,Poor,Intermediate,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Excellent,Business Analyst
Average,Average,Average,Poor,Average,Average,Average,Average,Average,Average,Average,Professional,Average,Average,Intermediate,Software tester
Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Data Scientist
Excellent,Excellent,Not Interested,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Networking Engineer
Beginner,Poor,No Experience,Professional,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Cyber Security Specialist
Advanced,Poor,Poor,Poor,Poor,Average,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,Poor,Poor,Database Administrator
Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Average,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Customer Service Executive
Professional,Beginner,Beginner,Beginner,Novice,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Beginner,Database Administrator
Excellent,Excellent,Competent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Customer Service Executive
Intermediate,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Professional,Intermediate,Competent,Beginner,Intermediate,AI ML Specialist
Average,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Competent,Intermediate,Intermediate,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Technical Writer
Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Networking Engineer
Excellent,Professional,Excellent,Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Hardware Engineer
Intermediate,Average,Average,Average,Professional,Average,Average,Average,Average,Not Interested,Average,Average,Average,Average,Average,Networking Engineer
Excellent,Excellent,Excellent,Excellent,Excellent,None,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Data Scientist
Beginner,Beginner,Beginner,Beginner,Beginner,Intermediate,Beginner,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,Customer Service Executive
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Beginner,AI ML Specialist
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Not Interested,Professional,Intermediate,Intermediate,Intermediate,Intermediate,Networking Engineer
Poor,Poor,Poor,Poor,Poor,,Expert,Excellent,Poor,Poor,Poor,,Poor,Poor,Poor,API Specialist
Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Poor,No Experience,Poor,Graphics Designer
No Experience,Poor,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,Professional,,No Experience,Poor,Poor,Poor,Technical Writer
Excellent,Excellent,Excellent,Professional,Excellent,Excellent,,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Cyber Security Specialist
Poor,Poor,Poor,Poor,Poor,Beginner,Poor,Poor,Poor,Poor,,Poor,Poor,Poor,Professional,Helpdesk Engineer
Poor,Poor,Poor,No Experience,Poor,Poor,Expert,No Experience,Poor,Poor,Poor,Excellent,Poor,Poor,Poor,API Specialist
Professional,Poor,Poor,Poor,Poor,No Experience,Not Interested,Poor,Poor,Poor,Poor,Poor,No Experience,Poor,Poor,Graphics Designer
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Entry-level,Beginner,Beginner,Beginner,Beginner,Cyber Security Specialist
Not Interested,Average,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,No Experience,Not Interested,,Not Interested,Networking Engineer
Beginner,Beginner,Beginner,Beginner,Beginner,Novice,Novice,Average,Beginner,Beginner,Beginner,Beginner,Beginner,Professional,,Data Scientist
Poor,Poor,Poor,Poor,Poor,,Poor,Average,Poor,Poor,Poor,,Poor,Professional,,Data Scientist
Professional,Not Interested,Not Interested,Not Interested,Not Interested,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Database Administrator
Beginner,Beginner,,Novice,Entry-level,Beginner,Novice,Beginner,Beginner,Professional,Novice,Beginner,Beginner,,Beginner,Technical Writer
Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,,Not Interested,Intermediate,Intermediate,Software tester
Not Interested,Poor,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Data Scientist
Poor,,Poor,Poor,Poor,Poor,Poor,Poor,Expert,Poor,Poor,Poor,Poor,No Experience,Poor,Information Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,,Excellent,Poor,Excellent,Excellent,Professional,Excellent,Excellent,Excellent,Excellent,AI ML Specialist
Average,Average,Average,Average,Average,Average,Professional,Average,Average,Average,Average,Excellent,Average,Average,Average,API Specialist
Intermediate,,Intermediate,Intermediate,Intermediate,Intermediate,Intermediate,Poor,Advanced,Intermediate,Average,Intermediate,Intermediate,Intermediate,Intermediate,Information Security Specialist
Beginner,Beginner,Beginner,Professional,Beginner,Beginner,Beginner,Beginner,Beginner,Entry-level,Beginner,Beginner,No Experience,Beginner,Beginner,Cyber Security Specialist
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Average,Professional,Excellent,Excellent,Business Analyst
Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Intermediate,Intermediate,Graphics Designer
Excellent,Excellent,Excellent,Excellent,Poor,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Excellent,Professional,Excellent,Data Scientist
Not Interested,Not Interested,Not Interested,N/A,,Intermediate,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Not Interested,Professional,Not Interested,Not Interested,Business Analyst
Average,Average,Average,Intermediate,Average,Average,Average,Average,Professional,Average,Average,Average,Intermediate,,Average,Information Security Specialist
,Poor,Poor,Poor,No Experience,Poor,Poor,Intermediate,No Experience,Poor,Poor,Poor,Poor,Poor,Expert,Helpdesk Engineer
Not Interested,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,N/A,Intermediate,Not Interested,Professional,No Experience,Not Interested,Not Interested,Not Interested,AI ML Specialist
Excellent,Not Interested,Not Interested,No Experience,Not Interested,No Experience,Advanced,Not Interested,No Experience,Not Interested,Not Interested,,Not Interested,Not Interested,Not Interested,API Specialist
Average,Intermediate,Average,Average,Average,Average,Professional,Average,Intermediate,Average,Average,Average,Average,Not Interested,Average,API Specialist
